"","P_daily_4","P_daily_6","P_daily_8","dates"
"1",31637,31637,31637,2020-12-09
"2",51141.4843333333,51439.2706666667,49831.4446666667,2020-12-10
"3",42789.99,43024.6003333333,41739.7396666667,2020-12-11
"4",36758.362,36935.6733333333,35942.2433333333,2020-12-12
"5",32400.2833333333,32540.6346666667,31776.371,2020-12-13
"6",29243.3536666667,29345.9456666667,28776.3556666667,2020-12-14
"7",26949.9773333333,27017.593,26626.3846666667,2020-12-15
"8",25273.814,25317.1636666667,25053.281,2020-12-16
"9",24040.141,24062.4966666667,23923.4266666667,2020-12-17
"10",23123.6336666667,23132.8073333333,23102.3023333333,2020-12-18
"11",22441.864,22425.6933333333,22489.8006666667,2020-12-19
"12",21924.795,21900.045,22044.517,2020-12-20
"13",21527.6023333333,21476.913,21714.049,2020-12-21
"14",21208.6483333333,21148.407,21453.496,2020-12-22
"15",20948.8306666667,20875.4843333333,21246.9226666667,2020-12-23
"16",20734.3743333333,20653.9203333333,21089.7116666667,2020-12-24
"17",20552.525,20457.1876666667,20954.285,2020-12-25
"18",20390.442,20289.7236666667,20836.4743333333,2020-12-26
"19",20243.9693333333,20126.016,20741.408,2020-12-27
"20",20107.9733333333,19983.0876666667,20649.6993333333,2020-12-28
"21",19979.768,19847.5796666667,20565.7796666667,2020-12-29
"22",19861.9656666667,19721.3543333333,20490.7736666667,2020-12-30
"23",19742.4983333333,19592.8373333333,20409.039,2020-12-31
"24",19627.6843333333,19464.1656666667,20336.882,2021-01-01
"25",28283.769,30705.9533333333,20147.4376666667,2021-01-02
"26",25008.1853333333,26724.4936666667,19102.959,2021-01-03
"27",22350.2623333333,23501.9656666667,18255.8383333333,2021-01-04
"28",20174.6166666667,20866.6013333333,17543.663,2021-01-05
"29",18369.2626666667,18686.2583333333,16940.495,2021-01-06
"30",16853.854,16879.9183333333,16414.1173333333,2021-01-07
"31",15564.5306666667,15350.5693333333,15949.4013333333,2021-01-08
"32",14458.7516666667,14052.232,15530.084,2021-01-09
"33",13490.3423333333,12936.264,15142.1723333333,2021-01-10
"34",12638.0333333333,11959.046,14783.0556666667,2021-01-11
"35",11884.7596666667,11100.2006666667,14448.1146666667,2021-01-12
"36",11200.1106666667,10344.4806666667,14123.993,2021-01-13
"37",10579.974,9666.14633333333,13813.6913333333,2021-01-14
"38",10013.579,9052.56433333333,13518.2383333333,2021-01-15
"39",9491.75433333333,8498.13666666667,13230.8106666667,2021-01-16
"40",14293.58,15369.4986666667,15046.7183333333,2021-01-17
"41",14468.996,15330.069,14680.7323333333,2021-01-18
"42",14476.4763333333,15155.6876666667,14328.292,2021-01-19
"43",14363.0816666667,14874.674,13994.4956666667,2021-01-20
"44",14167.123,14519.4243333333,13675.162,2021-01-21
"45",13911.3973333333,14116.8236666667,13368.3606666667,2021-01-22
"46",13610.3843333333,13688.0346666667,13068.8963333333,2021-01-23
"47",13282.5896666667,13242.0703333333,12780.3403333333,2021-01-24
"48",12934.4336666667,12783.181,12497.8723333333,2021-01-25
"49",12584.0816666667,12325.424,12222.524,2021-01-26
"50",12222.7513333333,11871.8666666667,11957.2243333333,2021-01-27
"51",11867.2623333333,11425.9666666667,11695.3916666667,2021-01-28
"52",11512.1886666667,10985.4706666667,11439.2363333333,2021-01-29
"53",11160.6146666667,10561.2053333333,11193.4623333333,2021-01-30
"54",10815.7236666667,10150.305,10944.4083333333,2021-01-31
"55",11812.5246666667,11337.043,16209.4513333333,2021-02-01
"56",11844.023,11598.1743333333,14914.9656666667,2021-02-02
"57",11800.4726666667,11707.511,13830.3213333333,2021-02-03
"58",11695.578,11708.1116666667,12909.8423333333,2021-02-04
"59",11546.0736666667,11626.68,12113.033,2021-02-05
"60",11371.247,11495.305,11420.0403333333,2021-02-06
"61",11177.1746666667,11322.2166666667,10803.349,2021-02-07
"62",10966.5356666667,11120.2316666667,10247.514,2021-02-08
"63",10750.9186666667,10904.6153333333,9752.317,2021-02-09
"64",10529.382,10669.91,9291.66866666667,2021-02-10
"65",10306.0826666667,10436.2233333333,8868.399,2021-02-11
"66",10083.734,10196.9626666667,8474.619,2021-02-12
"67",9861.67033333333,9951.576,8104.86133333333,2021-02-13
"68",9643.03633333333,9714.097,7759.582,2021-02-14
"69",9424.743,9471.284,7432.806,2021-02-15
"70",10833.9196666667,10844.908,10264.764,2021-02-16
"71",11999.0086666667,12051.6413333333,11832.048,2021-02-17
"72",12865.1683333333,12940.6833333333,12953.9033333333,2021-02-18
"73",13516.0996666667,13606.2286666667,13761.0366666667,2021-02-19
"74",14023.46,14109.3513333333,14343.4803333333,2021-02-20
"75",14417.7516666667,14499.493,14765.9763333333,2021-02-21
"76",14744.262,14815.7803333333,15075.4473333333,2021-02-22
"77",15018.8913333333,15072.0986666667,15301.911,2021-02-23
"78",15253.5773333333,15283.1426666667,15466.824,2021-02-24
"79",15467.1616666667,15470.7806666667,15596.6766666667,2021-02-25
"80",15660.5313333333,15640.1483333333,15686.949,2021-02-26
"81",15848.9083333333,15792.8436666667,15760.754,2021-02-27
"82",16015.4876666667,15940.086,15820.3086666667,2021-02-28
"83",16187.686,16070.8196666667,15866.0433333333,2021-03-01
"84",16350.786,16212.4786666667,15905.914,2021-03-02
"85",14685.7093333333,14579.0616666667,14388.6943333333,2021-03-03
"86",16448.0233333333,16396.5726666667,16361.7256666667,2021-03-04
"87",17910.6763333333,17899.4263333333,17957.995,2021-03-05
"88",19185.604,19189.6703333333,19301.5646666667,2021-03-06
"89",20343.93,20360.851,20504.4233333333,2021-03-07
"90",21422.595,21457.0816666667,21602.515,2021-03-08
"91",22483.2006666667,22527.0176666667,22648.9456666667,2021-03-09
"92",23530.369,23572.369,23676.4553333333,2021-03-10
"93",24589.8056666667,24625.5293333333,24697.08,2021-03-11
"94",25661.942,25693.4403333333,25717.3713333333,2021-03-12
"95",26759.0273333333,26787.685,26763.7706666667,2021-03-13
"96",27893.6253333333,27917.1426666667,27822.1653333333,2021-03-14
"97",29062.9036666667,29082.3753333333,28923.84,2021-03-15
"98",30271.8646666667,30281.991,30053.8723333333,2021-03-16
"99",31522.902,31528.0203333333,31216.8996666667,2021-03-17
"100",32836.0876666667,32823.885,32424.0286666667,2021-03-18
"101",34182.8573333333,34165.072,33665.369,2021-03-19
"102",35002.0533333333,34949.453,34359.604,2021-03-20
"103",35841.548,35761.514,35076.2516666667,2021-03-21
"104",36688.0356666667,36593.049,35802.809,2021-03-22
"105",37526.0713333333,37428.725,36534.2226666667,2021-03-23
"106",38350.83,38251.416,37245.2823333333,2021-03-24
"107",39158.4363333333,39067.628,37945.6996666667,2021-03-25
"108",39931.3626666667,39860.9013333333,38624.8313333333,2021-03-26
"109",40687.2606666667,40633.2063333333,39267.3986666667,2021-03-27
"110",41413.5726666667,41382.4663333333,39881.1776666667,2021-03-28
"111",42106.9626666667,42099.9493333333,40478.5883333333,2021-03-29
"112",42766.1666666667,42792.903,41030.1546666667,2021-03-30
"113",43406.0436666667,43443.508,41552.175,2021-03-31
"114",43993.8433333333,44078.0783333333,42034.2586666667,2021-04-01
"115",44559.6186666667,44667.6176666667,42489.288,2021-04-02
"116",45088.409,45229.107,42902.2756666667,2021-04-03
"117",45583.1273333333,45757.0466666667,43285.179,2021-04-04
"118",46052.328,46252.9166666667,43633.025,2021-04-05
"119",46479.3283333333,46721.5796666667,43933.3366666667,2021-04-06
"120",46869.4213333333,47135.92,44209.814,2021-04-07
"121",47239.01,47532.192,44460.6026666667,2021-04-08
"122",47565.574,47900.6393333333,44656.647,2021-04-09
"123",47886.0446666667,48219.3586666667,44828.6873333333,2021-04-10
"124",48179.4796666667,48514.4626666667,44967.75,2021-04-11
"125",48438.975,48778.0126666667,45072.1123333333,2021-04-12
"126",48702.9576666667,49009.7883333333,45157.8566666667,2021-04-13
"127",48942.7503333333,49218.3503333333,45214.4043333333,2021-04-14
"128",49180.1106666667,49385.4233333333,45244.152,2021-04-15
"129",49426.9996666667,49535.257,45239.6616666667,2021-04-16
"130",49696.9526666667,49656.248,45213.3986666667,2021-04-17
"131",49988.597,49750.969,45166.3816666667,2021-04-18
"132",50284.4283333333,49810.7873333333,45099.247,2021-04-19
"133",50600.421,49866.842,44999.6583333333,2021-04-20
"134",50950.886,49915.125,44887.9396666667,2021-04-21
"135",51329.1806666667,49926.4606666667,44770.021,2021-04-22
"136",51766.0116666667,49932.1403333333,44628.2606666667,2021-04-23
"137",52217.3616666667,49926.472,44470.1043333333,2021-04-24
